"interval_start","avg_sleep","avg_steps","avg_intensity","avg_calories","hour_military","day_of_week"
2016-03-26 04:50:00,0.941666666666667,0.0909090909090909,0.00606060606060606,1.13172511801575,"04","Saturday"
2016-03-26 05:00:00,0.891666666666667,0.318181818181818,0.00909090909090909,1.14340311939066,"05","Saturday"
2016-03-26 05:10:00,0.975,0,0,1.11488711852016,"05","Saturday"
2016-03-26 05:20:00,0.95,0.0575757575757576,0.00606060606060606,1.12754148100362,"05","Saturday"
2016-03-26 05:30:00,0.933333333333333,0.0303030303030303,0.00303030303030303,1.12274148175211,"05","Saturday"
2016-03-26 05:40:00,0.983333333333333,0,0,1.11737502704967,"05","Saturday"
2016-03-26 05:50:00,0.957627118644068,0.0909090909090909,0.00606060606060606,1.13086875424241,"05","Saturday"
2016-03-26 06:00:00,0.927272727272727,0.0606060606060606,0.00303030303030303,1.12156784552516,"06","Saturday"
2016-03-26 06:10:00,0.981818181818182,0,0,1.11432166352417,"06","Saturday"
2016-03-26 06:20:00,0.877358490566038,0.236363636363636,0.0121212121212121,1.14914650989301,"06","Saturday"
2016-03-26 06:30:00,0.989583333333333,0.493939393939394,0.0272727272727273,1.16551441965681,"06","Saturday"
2016-03-26 06:40:00,0.977777777777778,1.08484848484848,0.0454545454545455,1.22390244874087,"06","Saturday"
2016-03-26 06:50:00,1,2.12424242424242,0.127272727272727,1.406736447775,"06","Saturday"
2016-03-26 07:00:00,0.95,2.32121212121212,0.139393939393939,1.45672323396712,"07","Saturday"
2016-03-26 07:10:00,0.971428571428571,2.08484848484848,0.124242424242424,1.41018214984374,"07","Saturday"
2016-03-26 07:20:00,0.96,3.48181818181818,0.172727272727273,1.52402720704223,"07","Saturday"
2016-03-26 07:30:00,0.88,2.60606060606061,0.154545454545455,1.46759251193567,"07","Saturday"
2016-03-26 07:40:00,0.98,3.10909090909091,0.166666666666667,1.54991308342327,"07","Saturday"
2016-03-26 07:50:00,1,1.78484848484848,0.103030303030303,1.4046098409277,"07","Saturday"
2016-03-26 08:00:00,0.92,2.88787878787879,0.148484848484848,1.49930305589329,"08","Saturday"
2016-03-26 08:10:00,0.952380952380952,2.87272727272727,0.187878787878788,1.51100323814334,"08","Saturday"
2016-03-26 08:20:00,0.9,1.88181818181818,0.0787878787878788,1.33356314608545,"08","Saturday"
2016-03-26 08:30:00,0.689655172413793,4.57575757575758,0.190909090909091,1.64949917955832,"08","Saturday"
2016-03-26 08:40:00,1,9.04848484848485,0.278787878787879,1.94619674249129,"08","Saturday"
2016-03-26 08:50:00,1,6.63333333333333,0.196969696969697,1.70710715127714,"08","Saturday"
2016-03-26 09:00:00,0.736842105263158,6.65151515151515,0.221212121212121,1.6945335724137,"09","Saturday"
2016-03-26 09:10:00,1,11.1939393939394,0.345454545454545,2.07939602082426,"09","Saturday"
2016-03-26 09:20:00,0.9,8.48787878787879,0.339393939393939,1.98527984131466,"09","Saturday"
2016-03-26 09:30:00,0.5,7.90909090909091,0.315151515151515,1.9276336581418,"09","Saturday"
2016-03-26 10:10:00,0.833333333333333,6.96363636363636,0.287878787878788,1.91354223435575,"10","Saturday"
2016-03-26 10:20:00,1,6.05454545454545,0.3,1.94246323632472,"10","Saturday"
2016-03-26 10:30:00,1,6.13030303030303,0.290909090909091,1.85380659591068,"10","Saturday"
2016-03-26 10:40:00,1,5.36060606060606,0.206060606060606,1.64874908960227,"10","Saturday"
2016-03-26 10:50:00,0.9,6.08484848484848,0.203030303030303,1.61980883804235,"10","Saturday"
2016-03-26 11:00:00,1,7.40909090909091,0.239393939393939,1.71340230287928,"11","Saturday"
2016-03-26 11:10:00,1,7.77878787878788,0.272727272727273,1.75830378315665,"11","Saturday"
2016-03-26 14:10:00,0.166666666666667,3.71818181818182,0.145454545454545,1.48067938504797,"14","Saturday"
2016-03-26 14:20:00,1,6.92424242424242,0.260606060606061,1.77662493604602,"14","Saturday"
2016-03-26 14:30:00,1,8.3969696969697,0.336363636363636,2.04323032967972,"14","Saturday"
2016-03-26 14:40:00,1,13.4606060606061,0.412121212121212,2.35822761817412,"14","Saturday"
2016-03-26 14:50:00,0.8,10.5818181818182,0.360606060606061,2.101413114685,"14","Saturday"
2016-03-26 15:00:00,1,6.49393939393939,0.2,1.68870951226263,"15","Saturday"
2016-03-26 15:10:00,1,6.23636363636364,0.218181818181818,1.67120308316115,"15","Saturday"
2016-03-26 16:10:00,1,11.1909090909091,0.403030303030303,2.06228205922878,"16","Saturday"
2016-03-26 16:20:00,1,9.95757575757576,0.3,1.84884278611703,"16","Saturday"
2016-03-26 16:30:00,1,9.63030303030303,0.26969696969697,1.75318653782209,"16","Saturday"
2016-03-26 16:40:00,1,9.54242424242424,0.312121212121212,1.79646632833914,"16","Saturday"
2016-03-26 16:50:00,1,10.0575757575758,0.312121212121212,1.81864735845363,"16","Saturday"
2016-03-26 17:00:00,1,8.31818181818182,0.303030303030303,1.746557329279,"17","Saturday"
2016-03-26 17:10:00,1,9.41212121212121,0.336363636363636,1.90191388256622,"17","Saturday"
2016-03-26 17:20:00,1,6.71515151515151,0.218181818181818,1.70847029866594,"17","Saturday"
2016-03-26 17:30:00,0.8,5.05151515151515,0.184848484848485,1.58968530351465,"17","Saturday"
2016-03-26 17:40:00,0.8,7.5969696969697,0.254545454545455,1.69735599611745,"17","Saturday"
2016-03-26 17:50:00,1,6.71212121212121,0.233333333333333,1.63335136229342,"17","Saturday"
2016-03-26 19:30:00,1,4.84545454545455,0.209090909090909,1.66791095878139,"19","Saturday"
2016-03-26 19:40:00,1,6.06666666666667,0.196969696969697,1.77305569395874,"19","Saturday"
2016-03-26 19:50:00,0.588235294117647,5.82727272727273,0.203030303030303,1.66673993143168,"19","Saturday"
2016-03-26 20:00:00,0.9,5.61212121212121,0.172727272727273,1.60096114747452,"20","Saturday"
2016-03-26 20:10:00,0.95,3.7969696969697,0.172727272727273,1.56194074894443,"20","Saturday"
2016-03-26 20:20:00,0.8,1.8030303030303,0.154545454545455,1.4788626981504,"20","Saturday"
2016-03-26 20:30:00,0.95,3.93333333333333,0.157575757575758,1.5422856917887,"20","Saturday"
2016-03-26 20:40:00,0.769230769230769,2.75454545454545,0.139393939393939,1.50379969134475,"20","Saturday"
2016-03-26 20:50:00,0.5,2.6,0.127272727272727,1.39927875345403,"20","Saturday"
2016-03-26 21:00:00,0.894736842105263,1.98181818181818,0.127272727272727,1.40192054221124,"21","Saturday"
2016-03-26 21:10:00,0.8,2.65757575757576,0.178787878787879,1.51903087803812,"21","Saturday"
2016-03-26 21:20:00,0.7,3.16060606060606,0.127272727272727,1.46701811768792,"21","Saturday"
2016-03-26 21:30:00,1,2.75454545454545,0.145454545454545,1.46839205911665,"21","Saturday"
2016-03-26 21:40:00,1,3.64242424242424,0.172727272727273,1.54382726965529,"21","Saturday"
2016-03-26 21:50:00,0.8,2.43939393939394,0.157575757575758,1.49756427118272,"21","Saturday"
2016-03-26 22:00:00,0.7,1.22727272727273,0.1,1.36332530018055,"22","Saturday"
2016-03-26 22:10:00,0.3,1.05454545454545,0.115151515151515,1.36903784798853,"22","Saturday"
2016-03-26 22:20:00,0.692307692307692,2.73030303030303,0.124242424242424,1.47427359945846,"22","Saturday"
2016-03-26 22:30:00,0.75,3.8030303030303,0.133333333333333,1.53400375265064,"22","Saturday"
2016-03-26 22:40:00,1,4.62121212121212,0.190909090909091,1.58034230037169,"22","Saturday"
2016-03-26 22:50:00,0.85,4.69090909090909,0.160606060606061,1.59944878455364,"22","Saturday"
2016-03-26 23:00:00,0.535714285714286,3.91818181818182,0.0909090909090909,1.4690357809717,"23","Saturday"
2016-03-26 23:10:00,0.766666666666667,1.17878787878788,0.0606060606060606,1.24087923891617,"23","Saturday"
2016-03-26 23:20:00,0.743589743589744,1.16060606060606,0.0575757575757576,1.23948014812036,"23","Saturday"
2016-03-26 23:30:00,1,2.62121212121212,0.0757575757575758,1.33495299509077,"23","Saturday"
2016-03-26 23:40:00,0.982142857142857,0.93030303030303,0.0515151515151515,1.27652054284558,"23","Saturday"
2016-03-26 23:50:00,0.95,0.827272727272727,0.0515151515151515,1.2509238439979,"23","Saturday"
2016-03-27,0.940298507462687,1.28956228956229,0.0572390572390572,1.26655386995386,"00","Sunday"
2016-03-27 00:10:00,0.866666666666667,1.82727272727273,0.0636363636363636,1.31485593914986,"00","Sunday"
2016-03-27 00:20:00,0.9875,1.04848484848485,0.0545454545454545,1.26723215110374,"00","Sunday"
2016-03-27 00:30:00,0.9875,1.43333333333333,0.0575757575757576,1.33244015122905,"00","Sunday"
2016-03-27 00:40:00,0.960526315789474,0.73030303030303,0.0393939393939394,1.23736472725868,"00","Sunday"
2016-03-27 00:50:00,0.939393939393939,0.803030303030303,0.0272727272727273,1.17408478621281,"00","Sunday"
2016-03-27 01:00:00,0.90625,1.83333333333333,0.0454545454545455,1.28319250850967,"01","Sunday"
2016-03-27 01:10:00,0.907894736842105,0.36969696969697,0.0151515151515152,1.15494072581783,"01","Sunday"
2016-03-27 01:20:00,0.9125,0.803030303030303,0.0424242424242424,1.20411060344089,"01","Sunday"
2016-03-27 01:30:00,0.925,0.809090909090909,0.0424242424242424,1.22491703033447,"01","Sunday"
2016-03-27 01:40:00,0.9875,0.454545454545455,0.0303030303030303,1.19223166559682,"01","Sunday"
2016-03-27 01:50:00,0.954545454545455,0.0515151515151515,0.0121212121212121,1.1366936954585,"01","Sunday"
2016-03-27 02:00:00,0.957894736842105,0.178787878787879,0.0151515151515152,1.14763427141941,"02","Sunday"
2016-03-27 02:10:00,0.96,0.136363636363636,0.00909090909090909,1.14296833222563,"02","Sunday"
2016-03-27 02:20:00,0.99,0.415151515151515,0.0303030303030303,1.20954418074001,"02","Sunday"
2016-03-27 02:30:00,0.897196261682243,0.233333333333333,0.0181818181818182,1.16644209009228,"02","Sunday"
2016-03-27 02:40:00,0.981818181818182,0.00303030303030303,0,1.10687878673727,"02","Sunday"
2016-03-27 02:50:00,1,0.00606060606060606,0.00303030303030303,1.1119121204723,"02","Sunday"
2016-03-27 03:00:00,0.990909090909091,0.00606060606060606,0.00606060606060606,1.11577239253304,"03","Sunday"
